Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,270,1.0,0.5,85.3068,"High=270, Low=0",Control,0.5,0.5,0
high,270,1.0,0.5,80.4331,"High=270, Low=0",DIR,0.5,0.5,0
high,270,1.0,0.5,80.8833,"High=270, Low=0",BSAM,0.5,0.5,0
high,270,1.0,0.5,85.686,"High=270, Low=0",DILA,0.5,0.5,0
high,270,1.0,0.7519,85.3068,"High=270, Low=0",Control,0.5,0.75,0
high,270,1.0,0.7519,80.4331,"High=270, Low=0",DIR,0.5,0.75,0
high,270,1.0,0.7519,80.8833,"High=270, Low=0",BSAM,0.5,0.75,0
high,270,1.0,0.7519,85.686,"High=270, Low=0",DILA,0.5,0.75,0
high,270,0.9741,0.9741,85.3068,"High=270, Low=0",Control,0.5,1.0,0
high,270,0.9741,0.9741,80.4331,"High=270, Low=0",DIR,0.5,1.0,0
high,270,0.9704,0.9704,80.8833,"High=270, Low=0",BSAM,0.5,1.0,0
high,270,0.9778,0.9778,85.686,"High=270, Low=0",DILA,0.5,1.0,0
high,270,0.7988,1.0,85.3068,"High=270, Low=0",Control,0.5,1.25,0
high,270,0.7988,1.0,80.4331,"High=270, Low=0",DIR,0.5,1.25,0
high,270,0.7988,1.0,80.8833,"High=270, Low=0",BSAM,0.5,1.25,0
high,270,0.7988,1.0,85.686,"High=270, Low=0",DILA,0.5,1.25,0
high,270,0.6667,1.0,85.3068,"High=270, Low=0",Control,0.5,1.5,0
high,270,0.6667,1.0,80.4331,"High=270, Low=0",DIR,0.5,1.5,0
high,270,0.6667,1.0,80.8833,"High=270, Low=0",BSAM,0.5,1.5,0
high,270,0.6667,1.0,85.686,"High=270, Low=0",DILA,0.5,1.5,0
high,270,0.5708,1.0,85.3068,"High=270, Low=0",Control,0.5,1.75,0
high,270,0.5708,1.0,80.4331,"High=270, Low=0",DIR,0.5,1.75,0
high,270,0.5708,1.0,80.8833,"High=270, Low=0",BSAM,0.5,1.75,0
high,270,0.5708,1.0,85.686,"High=270, Low=0",DILA,0.5,1.75,0
